Team,First Win,Sweet 16,Elite 8,Final 4,Finals,Champion
Duke,0.985059924,0.857658438,0.648341883,0.492879918,0.648854962,0.186621963
Siena,0.014940076,0.003844087,0.001882321,0.001161143,,0.000373057
Ohio St,0.565602837,0.087715068,0.044906797,0.021268739,,0.001489996
TCU,0.434397163,0.050782408,0.018491034,0.005774956,,0.000745742
St. John's,0.825825826,0.506350856,0.145083498,0.087201832,,0.01114161
Northern Iowa,0.174174174,0.049823997,0.004691755,0.001740556,,0.000745742
Kansas,0.890909091,0.420735977,0.134720391,0.058134554,,0.014637017
Cal Baptist,0.109090909,0.023089169,0.001882321,0.001161143,,0.000373057
Louisville,0.663648124,0.320168453,0.159787576,0.051295195,,0.007390969
South Florida,0.336351876,0.123798468,0.048356766,0.010765658,,0.000993992
Michigan St,0.909090909,0.533387018,0.316820194,0.10900229,,0.014637017
N Dakota St,0.090909091,0.022646061,0.003660472,0.001161143,,0.000373057
UCLA,0.681818182,0.29591874,0.108091596,0.033539166,,0.002974055
UCF,0.318181818,0.091734809,0.025521627,0.003474177,,0.001489996
UConn,0.938256659,0.601021165,0.334101296,0.120278388,,0.032455994
Furman,0.061743341,0.011325285,0.003660472,0.001161143,,0.000373057
,,,,,,
Florida,0.987792832,0.761904612,0.566328015,0.328806563,0.351145038,0.099531714
Prairie View A&M,0.012207168,0.001878595,0.001836892,0.001204019,,0.000149268
Clemson,0.453230473,0.110726622,0.043823001,0.013495792,,0.002974055
Iowa,0.546769527,0.125490171,0.054134296,0.017729766,,0.002974055
Vanderbilt,0.832869081,0.497427663,0.193743795,0.069555234,,0.01114161
McNeese,0.167130919,0.063308975,0.011361519,0.001804826,,0.000373057
Nebraska,0.876606684,0.412884622,0.12693559,0.039313828,,0.007390969
Troy,0.123393316,0.02637874,0.001836892,0.001204019,,0.000373057
North Carolina,0.56335769,0.173017508,0.053522209,0.017729766,,0.00371387
VCU,0.43664231,0.079299691,0.017840736,0.004498597,,0.000993992
Illinois,0.962606442,0.74013045,0.363951024,0.190361694,,0.035547041
Penn,0.037393558,0.007552352,0.003022849,0.001204019,,0.000373057
St. Mary's,0.594025278,0.251979842,0.082716142,0.029168324,,0.002974055
Texas A&M,0.405974722,0.075593952,0.022192136,0.004498597,,0.001489996
Houston,0.962606442,0.665226782,0.45493878,0.278220938,,0.067862532
Idaho,0.037393558,0.007199424,0.001816123,0.001204019,,0.000149268
,,,,,,
Arizona,0.987780786,0.812218166,0.649826082,0.445372333,0.494736842,0.149297571
LIU,0.012219214,0.001891393,0.001815881,0.001157838,,0.000373057
Villanova,0.453230473,0.099746091,0.034990635,0.010735018,,0.001489996
Utah St,0.546769527,0.086144351,0.029346984,0.008609272,,0.002126746
Wisconsin,0.798319328,0.369478498,0.101084057,0.045765077,,0.01114161
High Point,0.201680672,0.030988519,0.006024878,0.001157838,,0.000745742
Arkansas,0.893617021,0.568544464,0.173286955,0.086953646,,0.014637017
Hawai'i,0.106382979,0.030988519,0.003624528,0.001157838,,0.000373057
BYU,0.565995105,0.196168798,0.065736968,0.017049735,,0.004943628
Texas,0.434004895,0.068659079,0.02405011,0.00575852,,0.000497327
Gonzaga,0.936329588,0.722457478,0.303401391,0.13377484,,0.01333014
Kennesaw St.,0.063670412,0.012714644,0.001968173,0.001157838,,0.000149268
Miami (FL),0.546769527,0.152816802,0.070432466,0.017049735,,0.002974055
Missouri,0.453230473,0.086827728,0.027390403,0.00575852,,0.001489996
Purdue,0.966344552,0.754030271,0.505052316,0.217384115,,0.028711071
Queens,0.033655448,0.006325199,0.001968173,0.001157838,,0.000373057
,,,,,,
Michigan,0.998989534,0.828001131,0.678283531,0.47168261,0.505263158,0.16588619
Howard,0.001010466,0.003770068,0.001895403,0.001151467,,0.000149268
Georgia,0.591194969,0.105143001,0.049978786,0.012906738,,0.000993992
Saint Louis,0.408805031,0.0630858,0.018619548,0.004302246,,0.002126746
Texas Tech,0.73354232,0.359745791,0.086326995,0.037597889,,0.005924507
Akron,0.26645768,0.062355937,0.00940195,0.001726051,,0.000745742
Alabama,0.868263473,0.528669901,0.146091837,0.078613768,,0.007390969
Hofstra,0.131736527,0.049228371,0.00940195,0.001726051,,0.000745742
Tennessee,0.837967594,0.359745791,0.199024744,0.066519342,,0.007390969
Miami (OH),0.162032406,0.062355937,0.002693355,0.001151467,,0.000373057
Virginia,0.92364532,0.528669901,0.22243942,0.078613768,,0.009215899
Wright St,0.07635468,0.049228371,0.001886961,0.001151467,,0.000373057
Kentucky,0.601769912,0.165918648,0.063024502,0.016955911,,0.005924507
Santa Clara,0.398230088,0.112239086,0.03636029,0.008561896,,0.000993992
Iowa State,0.962606442,0.715524172,0.472683767,0.216187863,,0.04391105
Tennessee St,0.037393558,0.006318094,0.001886961,0.001151467,,0.000373057
